2,50,12500,98,A
0,13,3250,28,A
1,16,4000,35,A
2,20,5000,45,A
1,24,6000,77,B
4,4,1000,4,B
2,7,1750,14,A
1,12,3000,35,B
2,9,2250,22,A
5,46,11500,98,A
4,23,5750,58,B
0,3,750,4,B
2,10,2500,28,A
1,13,3250,47,B
2,6,1500,15,A
2,5,1250,11,A
2,14,3500,48,A
2,15,3750,49,A
2,6,1500,15,A
2,3,750,4,A
2,3,750,4,A
4,11,2750,28,B
2,6,1500,16,A
2,6,1500,16,A
9,9,2250,16,B
4,14,3500,40,B
4,6,1500,14,B
4,12,3000,34,A
4,5,1250,11,A
4,8,2000,21,B
1,14,3500,58,B
4,10,2500,28,A
4,10,2500,28,A
4,9,2250,26,A
2,16,4000,64,B
2,8,2000,28,A
2,12,3000,47,A
4,6,1500,16,A
2,14,3500,57,A
4,7,1750,22,A
2,13,3250,53,A
2,5,1250,16,B
2,5,1250,16,A
2,5,1250,16,B
4,20,5000,69,A
4,9,2250,28,A
2,9,2250,36,B
2,2,500,2,B
2,2,500,2,B
2,2,500,2,B
2,11,2750,46,B
2,11,2750,46,A
2,6,1500,22,B
2,12,3000,52,B
4,5,1250,14,A
4,19,4750,69,A
4,8,2000,26,A
2,7,1750,28,A
2,16,4000,81,B
3,6,1500,21,B
2,7,1750,29,B
2,8,2000,35,A
2,10,2500,49,B
4,5,1250,16,A
2,3,750,9,A
3,16,4000,74,B
2,4,1000,14,A
0,2,500,4,B
4,7,1750,25,B
1,9,2250,51,B
2,4,1000,16,B
2,4,1000,16,B
4,17,4250,71,A
2,2,500,4,B
2,2,500,4,A
2,2,500,4,A
2,4,1000,16,A
2,2,500,4,B
2,2,500,4,B
2,2,500,4,B
4,6,1500,23,A
2,4,1000,16,B
2,4,1000,16,B
2,4,1000,16,B
2,6,1500,28,A
2,6,1500,28,B
4,2,500,4,B
4,2,500,4,B
4,2,500,4,B
2,7,1750,35,A
4,2,500,4,A
4,2,500,4,B
4,2,500,4,B
4,2,500,4,B
12,11,2750,23,B
4,7,1750,28,B
3,17,4250,86,B
4,9,2250,38,A
4,4,1000,14,A
5,7,1750,26,A
4,8,2000,34,A
2,13,3250,76,A
4,9,2250,40,B
2,5,1250,26,B
2,5,1250,26,B
6,17,4250,70,B
0,8,2000,59,B
3,5,1250,26,B
2,3,750,14,B
2,10,2500,64,B
4,5,1250,23,A
4,9,2250,46,B
4,5,1250,23,B
4,8,2000,40,A
2,12,3000,82,B
11,24,6000,64,B
2,7,1750,46,A
4,11,2750,61,B
1,7,1750,57,B
2,11,2750,79,A
2,3,750,16,A
4,5,1250,26,A
2,6,1500,41,A
2,5,1250,33,A
2,4,1000,26,B
2,5,1250,34,B
4,8,2000,46,A
2,4,1000,26,B
4,8,2000,48,A
2,2,500,10,A
4,5,1250,28,B
2,12,3000,95,B
2,2,500,10,B
4,6,1500,35,B
2,11,2750,88,B
2,3,750,19,B
2,5,1250,37,B
2,12,3000,98,B
9,5,1250,19,B
2,2,500,11,B
2,9,2250,74,B
5,14,3500,86,B
4,3,750,16,B
